queries,step,expected_template
Is it going to rain this afternoon?,step0-Bot,unrelated_topic
Is it going to rain this afternoon?,step1-Introduction,unrelated_topic
Is it going to rain this afternoon?,step2-Eligibility,unrelated_topic
Is it going to rain this afternoon?,step3-Technical-Information-Fee-Exemption-Request,unrelated_topic
Is it going to rain this afternoon?,step3-Technical-Information-Water-Diversion,unrelated_topic
Is it going to rain this afternoon?,step3-AddPurpose-Consolidated,unrelated_topic
Is it going to rain this afternoon?,step5-Document-Upload,unrelated_topic
Is it going to rain this afternoon?,step6-Privacy-Confirmation,unrelated_topic
Is it going to rain this afternoon?,step7-Contact-Information,unrelated_topic
Is it going to rain this afternoon?,step8-Review,unrelated_topic
Is it going to rain this afternoon?,step9-Declarations,unrelated_topic
Is it going to rain this afternoon?,step10-Complete,unrelated_topic
What's the temperature outside right now?,step0-Bot,unrelated_topic
What's the temperature outside right now?,step1-Introduction,unrelated_topic
What's the temperature outside right now?,step2-Eligibility,unrelated_topic
What's the temperature outside right now?,step3-Technical-Information-Fee-Exemption-Request,unrelated_topic
What's the temperature outside right now?,step3-Technical-Information-Water-Diversion,unrelated_topic
What's the temperature outside right now?,step3-AddPurpose-Consolidated,unrelated_topic
What's the temperature outside right now?,step5-Document-Upload,unrelated_topic
What's the temperature outside right now?,step6-Privacy-Confirmation,unrelated_topic
What's the temperature outside right now?,step7-Contact-Information,unrelated_topic
What's the temperature outside right now?,step8-Review,unrelated_topic
What's the temperature outside right now?,step9-Declarations,unrelated_topic
What's the temperature outside right now?,step10-Complete,unrelated_topic
Can you tell me today's weather forecast?,step0-Bot,unrelated_topic
Can you tell me today's weather forecast?,step1-Introduction,unrelated_topic
Can you tell me today's weather forecast?,step2-Eligibility,unrelated_topic
Can you tell me today's weather forecast?,step3-Technical-Information-Fee-Exemption-Request,unrelated_topic
Can you tell me today's weather forecast?,step3-Technical-Information-Water-Diversion,unrelated_topic
Can you tell me today's weather forecast?,step3-AddPurpose-Consolidated,unrelated_topic
Can you tell me today's weather forecast?,step5-Document-Upload,unrelated_topic
Can you tell me today's weather forecast?,step6-Privacy-Confirmation,unrelated_topic
Can you tell me today's weather forecast?,step7-Contact-Information,unrelated_topic
Can you tell me today's weather forecast?,step8-Review,unrelated_topic
Can you tell me today's weather forecast?,step9-Declarations,unrelated_topic
Can you tell me today's weather forecast?,step10-Complete,unrelated_topic
Will my application definitely be accepted?,step0-Bot,predicting_outcome
Will my application definitely be accepted?,step1-Introduction,predicting_outcome
Will my application definitely be accepted?,step2-Eligibility,predicting_outcome
Will my application definitely be accepted?,step3-Technical-Information-Fee-Exemption-Request,predicting_outcome
Will my application definitely be accepted?,step3-Technical-Information-Water-Diversion,predicting_outcome
Will my application definitely be accepted?,step3-AddPurpose-Consolidated,predicting_outcome
Will my application definitely be accepted?,step5-Document-Upload,predicting_outcome
Will my application definitely be accepted?,step6-Privacy-Confirmation,predicting_outcome
Will my application definitely be accepted?,step7-Contact-Information,predicting_outcome
Will my application definitely be accepted?,step8-Review,predicting_outcome
Will my application definitely be accepted?,step9-Declarations,predicting_outcome
